experiment,train_loss,num_train_examples,num_eval_examples,saved_adapter,adapter_dir,eval_loss,eval_perplexity,variant,use_metadata
final_A_no_metadata,2.845481506347656,1000,0,True,qwen3_dream_cv_final_outputs/final_adapters/final_A_no_metadata,,,final_A_no_metadata,False
final_B_with_metadata,2.8477044677734376,1000,0,True,qwen3_dream_cv_final_outputs/final_adapters/final_B_with_metadata,,,final_B_with_metadata,True
